Model No,Driver download Link
Epson TM-T82,https://drive.google.com/file/d/192OZV2Xo-y_rLa3EF67u2X3lZHfDKEhK/view?usp=sharing
Epson TM-T82-42C,https://drive.google.com/file/d/192OZV2Xo-y_rLa3EF67u2X3lZHfDKEhK/view?usp=sharing
Epson TM-T82III,https://drive.google.com/file/d/1RVS61KMpNNzRFKWMwQqJjSIhFtPTUxEf/view?usp=sharing
Epson TM-T82X,https://drive.google.com/file/d/15TeN_rDRavccqpCyIcQmCuoAxhqUfbyr/view?usp=sharing
Epson TM-T83III,https://drive.google.com/file/d/1x36Xg06vT6sd2XhjObeOiEkcD7R5k3a8/view?usp=sharing
Epson TM-T88IV,https://drive.google.com/file/d/1gT3MMbgXR9loya1puaGgCIeoj3nnJhh7/view?usp=sharing
Epson TM-T88V,https://drive.google.com/file/d/1cRVqH_CUQ2QgTOD30aeUIsejbsbJmKPC/view?usp=sharing
Epson TM-m30III,https://drive.google.com/file/d/1VU_X9ZKb99qKtmJ29CXeSWaunB7Jaetd/view?usp=sharing
Epson TM-M30,https://drive.google.com/file/d/1JW-8srM9BseRtFhCNuHMlk5pmiTCMwNk/view?usp=sharing
Epson TM-M30II,https://drive.google.com/file/d/18PzyQahxnSY7SM2kb6bWxYSkHn9qrbnm/view?usp=sharing
Epson TM-T20III,https://drive.google.com/file/d/1J_Kfl9cR7vfTFUovOhZb5eThPKdy69Ib/view?usp=sharing
Epson TM-U220,https://drive.google.com/file/d/1RF2DzCkGp-tCMfq3H65XhDzNmUSKnE5f/view?usp=sharing
Epson TM-T88VII,https://drive.google.com/file/d/1ywTtGewCJEbXCXNhAsGmqRtA-UMq2klr/view?usp=sharing
Epson TM-T88VI ,https://drive.google.com/file/d/1VEbSw9qTnLAjwLrzbIy4kckU4zYuInYb/view?usp=sharing
Epson TM-P80,https://drive.google.com/file/d/1yB3RU0DI0iATu3RyNj845aD1Bnvrf4LZ/view?usp=sharing
Retsol RTP-80,https://drive.google.com/file/d/12G_WKLmijoZXd4Yk6twY_yXpX9sBDt1f/view?usp=sharing
Retsol Rtp-82ue,https://drive.google.com/file/d/1asi5u88f6xTnO6JMIOMMfPnHCA0H8r5r/view?usp=sharing
RETSOL R220,https://drive.google.com/file/d/1EhzGhOvghfgq--aVIyFVSR3VDLy4E9Il/view?usp=sharing
Retsol RPT-82UW,https://drive.google.com/file/d/1UUJbBC5xndveNpNzJRSAC_3iVv8mYGRY/view?usp=sharing
RETSOL TP806,https://drive.google.com/file/d/14R44GMJmDemPrpAG7tV7FnC71RdsW7de/view?usp=sharing
RETSOL RTP-81,https://drive.google.com/file/d/19JcoSfQ87GB6ugVh6MgqkQe4atiIOsXe/view?usp=sharing
Everycom EC-58,https://drive.google.com/file/d/1sI7uMRsbkrQqlXQgODcUqu63aiFfMlBU/view?usp=sharing
Everycom EC-801,https://drive.google.com/file/d/1gwfF3NADvrsV0_8HT-LcDbNOYOr834Mi/view?usp=sharing
Everycom EC-901,https://drive.google.com/file/d/1sL3BMhi0kIrOEfHHm2QBAvpkzBt8ipQ7/view?usp=sharing
Everycom EC-801B,https://drive.google.com/file/d/1IpxQdX2TyS-OpSlviv09vzG5lnYMkbJS/view?usp=sharing
Rugtek RP 326,https://drive.google.com/file/d/1s8eh9Fvwt3MhqcaD4sD6aXi3q8owJm2F/view?usp=sharing
Rugtek RP-82A Compact,https://drive.google.com/file/d/1BsDC8M-bfcmX2YyBoQbbvM9dKc8Y7Naw/view?usp=sharing
Rugtek RP-82A Cube Printer,https://drive.google.com/file/d/1Lee-Dch03Zo1C8ilFfqU3lVZbA1ou4p1/view?usp=sharing
Rugtek RP80 H1,https://drive.google.com/file/d/1BMCG8Sg2rCEirSD7R_k1peUte1oAw1lG/view?usp=sharing
Rugtek RP 328,https://drive.google.com/file/d/1cilDmY9u_JjZgAFJlh0fAMw09S3N-Rhm/view?usp=drive_link
Rugtek RP?80,https://drive.google.com/file/d/1BMCG8Sg2rCEirSD7R_k1peUte1oAw1lG/view?usp=sharing
Rugtek RP76?V,https://drive.google.com/file/d/1-0AV9ofDAaUzN9v2jTIvGeTcBGhrlCvm/view?usp=sharing
Rugtek RP80?V1,https://drive.google.com/file/d/1BMCG8Sg2rCEirSD7R_k1peUte1oAw1lG/view?usp=sharing
Rugtek RP 76III,https://drive.google.com/file/d/1iDsaT2WiqW5Y-ZjQKh_HHt9ZtJ5_VzA-/view?usp=sharing
dcode DC 80C,https://drive.google.com/file/d/1tx7PQ14ENLFHT2KzfjqNeOBiC6F38Nmk/view?usp=sharing
dcode DC 80B,https://drive.google.com/file/d/1tx7PQ14ENLFHT2KzfjqNeOBiC6F38Nmk/view?usp=sharing
dcode DC 80A,https://drive.google.com/file/d/1tx7PQ14ENLFHT2KzfjqNeOBiC6F38Nmk/view?usp=sharing
dcode DC 58B,https://drive.google.com/file/d/1tx7PQ14ENLFHT2KzfjqNeOBiC6F38Nmk/view?usp=sharing
dcode DC 58A,https://drive.google.com/file/d/1tx7PQ14ENLFHT2KzfjqNeOBiC6F38Nmk/view?usp=sharing
shreyans KP 206,https://drive.google.com/file/d/18NqgDxx1gTGm1Y7ictBBbbyLWVjOqrr_/view?usp=sharing
shreyans KP 306-UB,https://drive.google.com/file/d/1eNW2LL4l33bvoVk0dS6TBsVyePDNGu_3/view?usp=sharing
shreyans KP 307-/ 3 inch (58mm),https://drive.google.com/file/d/1CDUqJZIv0yNpeyNf1AgdZBF7BKQRRUEb/view?usp=sharing
shreyans 710U / 710UE / 710UB / 710UW,https://drive.google.com/file/d/1CDUqJZIv0yNpeyNf1AgdZBF7BKQRRUEb/view?usp=sharing
TVS RP 3160 GOLD,https://drive.google.com/file/d/1nutrB2FhaYj7tNrhTisdlEl92vYxo3a0/view?usp=sharing
TVS RP 3220 STAR,https://drive.google.com/file/d/1N1Howz0G2HOljACYnmWZkOcO9dlZGrQS/view?usp=sharing
TVS RP 3200 PLUS,https://drive.google.com/file/d/1VY6TaQIawHNRfPJGXixMGYgQgTEfNUwi/view?usp=sharing
TVS RP 3230,https://drive.google.com/file/d/1dn9qVnGJ_1BRhnUza_jp3pzhSzY79L8Y/view?usp=sharing
TVS RP 3230 ABW,https://drive.google.com/file/d/1TL2lFUJY8lHv7XsoOrJfXt3QQgvV6aP2/view?usp=sharing
TVS RP 3200 Lite,https://drive.google.com/file/d/1JCM1zqAglsvzRRDlfBxv5qHDcPlKv7Ys/view?usp=sharing
TVS RP3210 Gold,https://drive.google.com/file/d/1dvCu46Qp4G1vX6Vg3FfBgZCvM9ImgLFk/view?usp=sharing
Tenax TN260 (UE),https://drive.google.com/file/d/1G1Ur8Xs5PpaJtfdsgCwReG2TpE3OJ0eD/view?usp=sharing
Tenax S300N  (USE),https://drive.google.com/file/d/10_IbEh_ms45CcaQkOOR2ncJRsxv6Qxp4/view?usp=sharing
Tenax S250H (USE),https://drive.google.com/file/d/19IVT_Qv07mll0a7N95IN3qltnxdoiaEf/view?usp=sharing
X Printer XP-V330L ,https://drive.google.com/file/d/10jDt9RNvl2eZI7Qqtvfn84HViVyLVfxH/view?usp=sharing
Xprinter XP-V320L,https://drive.google.com/drive/folders/1EYQdZbVxSBsVCgCARimS7-of1ctibvx8?usp=sharing
XPrinter XP-Q800,https://drive.google.com/file/d/1zh7JkTQ10El_BNs5lwEPvktikljqODNw/view?usp=sharing
pos x 80c,https://drive.google.com/file/d/10jDt9RNvl2eZI7Qqtvfn84HViVyLVfxH/view?usp=sharing
Xprinter XP-Q80C Receipt Printer,https://drive.google.com/drive/folders/1EYQdZbVxSBsVCgCARimS7-of1ctibvx8?usp=sharing
Rongta RP330,https://drive.google.com/file/d/1JeWQlnK8ti-pfi3nQg-Ry1M99NffaR5i/view?usp=sharing
Rongta RP326 80mm,https://drive.google.com/file/d/1JeWQlnK8ti-pfi3nQg-Ry1M99NffaR5i/view?usp=sharing
Rongta RP327 80mm,https://drive.google.com/file/d/1JeWQlnK8ti-pfi3nQg-Ry1M99NffaR5i/view?usp=sharing
Rongta Ace G1,https://drive.google.com/file/d/1JeWQlnK8ti-pfi3nQg-Ry1M99NffaR5i/view?usp=sharing
Rongta RP328 Bluetooth Thermal Receipt Printer,https://drive.google.com/file/d/1JeWQlnK8ti-pfi3nQg-Ry1M99NffaR5i/view?usp=sharing
Rongta RP80,https://drive.google.com/file/d/1JeWQlnK8ti-pfi3nQg-Ry1M99NffaR5i/view?usp=sharing
Hoin H 806,https://drive.google.com/file/d/1oUb7HQ3fEbvRFHx4dvQtgRtnaXg3Oki0/view?usp=sharing
Hoin E 802,https://drive.google.com/file/d/1oUb7HQ3fEbvRFHx4dvQtgRtnaXg3Oki0/view?usp=sharing
Hoin E 801,https://drive.google.com/file/d/1oUb7HQ3fEbvRFHx4dvQtgRtnaXg3Oki0/view?usp=sharing
Hoin H 801,https://drive.google.com/file/d/1oUb7HQ3fEbvRFHx4dvQtgRtnaXg3Oki0/view?usp=sharing
Hoin H58,https://drive.google.com/file/d/1AqZaqYGXd-Ip4ITy3VMrKqdwTWV1vh4S/view?usp=sharing
Hoin H200,https://drive.google.com/file/d/1AqZaqYGXd-Ip4ITy3VMrKqdwTWV1vh4S/view?usp=sharing
Hoin E58,https://drive.google.com/file/d/1AqZaqYGXd-Ip4ITy3VMrKqdwTWV1vh4S/view?usp=sharing
Hoin E200,https://drive.google.com/file/d/1AqZaqYGXd-Ip4ITy3VMrKqdwTWV1vh4S/view?usp=sharing
Real POS RPT-260IV,https://drive.google.com/file/d/1bGAdw3-J_60xN5sgbhCuBULOBwQ1M3zA/view?usp=sharing
Real POS RPT-260IV(New),https://drive.google.com/file/d/1OzLEv_OQwCbk5yWffWpnK1r9iOixaMeo/view?usp=sharing
Impact by Honeywell IHR810 THERMAL RECEIPT PRINTER,https://drive.google.com/file/d/1LOP5F9T3OyM6dGUlQpDMcGbmtdP6oZec/view?usp=sharing
bixolon SRP-350III,https://drive.google.com/file/d/1VQFSheFU-6nP3rZkrqMmyIYGYEdpPr7-/view?usp=sharing
ATPOS 301,https://drive.google.com/file/d/1JzQjyxtoaSeNsN1vxImrAB09SJDKdy3t/view?usp=sharing
ATPOS 302,https://drive.google.com/file/d/1JzQjyxtoaSeNsN1vxImrAB09SJDKdy3t/view?usp=sharing
ATPOS 402,https://drive.google.com/file/d/1JzQjyxtoaSeNsN1vxImrAB09SJDKdy3t/view?usp=sharing
ATPOS 502,https://drive.google.com/file/d/1zvWEJ6FUioIh2aHvd-40vnLt3agMlHVs/view?usp=sharing
ATPOS 507,https://drive.google.com/file/d/1NgIp80THzw5-vqs2NcKduGLnAK3uUY1J/view?usp=sharing
ATPOS H58,https://drive.google.com/drive/folders/1Sp2Pi5aB7PYzCMVlaT6HlmACbSeLKjy3?usp=sharing
NGX TP909-UL,https://drive.google.com/file/d/13sAuPyqgYx1ITFOruleKedQtmrEbRKPU/view?usp=sharing
NGX TP909-U,https://drive.google.com/file/d/13sAuPyqgYx1ITFOruleKedQtmrEbRKPU/view?usp=sharing
Domipos D600 UE,https://drive.google.com/file/d/1HHMmwEKermFDI4SnHmu8rJUUy1iPok1M/view?usp=sharing
Helett H30Clite,https://drive.google.com/file/d/10QeDoPcj6jPfOs6SMNOTDeoJ7NsA_CJD/view?usp=sharing
Helett H30C,https://drive.google.com/file/d/1SRuLcCwgSwUMFqiWZtfWpm4bJia9B6nk/view?usp=sharing
Helett H65C,https://drive.google.com/file/d/1QQs0QSGbK1gLIxseyjjBeEB_blFStMYS/view?usp=sharing
Helett H80i,https://drive.google.com/file/d/1sv1UVQV3v0OfVVoXgymO0AFkc8uojvew/view?usp=sharing
Starmicronics TSP143III,https://drive.google.com/file/d/1FY-m2X6lWVo1FiUvnEoEubDbbWKkxdrR/view?usp=sharing
Citizen CT-S801,https://drive.google.com/file/d/13rNPKgcyx_BshPBf1ktxwz_8CDx0gJ3-/view?usp=sharing
Gainscha GA-E200II,https://drive.google.com/file/d/1omJMn_mnlgn_0mMcvGQdHZGt6EvPx9If/view?usp=sharing
Gainscha GA-E250,https://drive.google.com/file/d/1omJMn_mnlgn_0mMcvGQdHZGt6EvPx9If/view?usp=sharing
Gainscha GA-F200,https://drive.google.com/file/d/1omJMn_mnlgn_0mMcvGQdHZGt6EvPx9If/view?usp=sharing
Gainscha GA-U80,https://drive.google.com/file/d/1omJMn_mnlgn_0mMcvGQdHZGt6EvPx9If/view?usp=sharing
Gainscha GA-G3,https://drive.google.com/file/d/1omJMn_mnlgn_0mMcvGQdHZGt6EvPx9If/view?usp=sharing
POSIFLEX PP 8800,https://drive.google.com/file/d/16FQwhFeLnoOpl8twB8z0EYjl3s7fqZre/view?usp=sharing
Posiflex PP8800U,https://drive.google.com/file/d/1q-t7EMG633xG-aQPqPJnPXWHqgRr7xUm/view?usp=sharing
Essae PR-75,https://drive.google.com/file/d/17KxxoXz6ZpVb2ly_sQoWYs2QcGSP2WyI/view?usp=sharing
Essae PR-65,https://drive.google.com/file/d/1Tb7mi30TFLnjxoqABTvsGIOy07J9YLrI/view?usp=sharing
Essae PR-95,https://drive.google.com/file/d/1P7KLId6OsaxSm7YWnVIUfvv7dX2wOjI5/view?usp=sharing
Essae PR-85,https://drive.google.com/file/d/1PQMflzYOZemSWUWqX8LrTQDK8-9jWJtx/view?usp=sharing
Starmicronics TSP650II,https://drive.google.com/file/d/1EUlh4mvBqnQQ72zkxIdbDZEmSXIwV27o/view?usp=sharing
StarmicronicsTSP650II,https://drive.google.com/file/d/1EUlh4mvBqnQQ72zkxIdbDZEmSXIwV27o/view?usp=sharing
Starmicronics TSP700II,https://drive.google.com/file/d/1EUlh4mvBqnQQ72zkxIdbDZEmSXIwV27o/view?usp=sharing
Starmicronics TSP800II,https://drive.google.com/file/d/1EUlh4mvBqnQQ72zkxIdbDZEmSXIwV27o/view?usp=sharing
Starmicronics TUP500,https://drive.google.com/file/d/1EUlh4mvBqnQQ72zkxIdbDZEmSXIwV27o/view?usp=sharing
Starmicronics TUP900,https://drive.google.com/file/d/1EUlh4mvBqnQQ72zkxIdbDZEmSXIwV27o/view?usp=sharing
Star Micronics SP742,https://drive.google.com/file/d/1TD1_fp5diuIb1ypTht9jaqRRDeppFW47/view?usp=sharing
Adler TP100,https://drive.google.com/file/d/1wekIF_XeJQwfnQbVBXFkvZPlp3W4N6sD/view?usp=sharing
Seiben 58mm,https://drive.google.com/file/d/1hSdDsW8PZ5dZn0EXTi1D_Z4UtdcVNtEd/view?usp=sharing
BPOS RTP-80,https://drive.google.com/file/d/11Plk-QiPLUowNd-SQKzVMrYwbLmQNQ1m/view?usp=sharing
BPOS RP 300 IV ,https://drive.google.com/file/d/1DZqwMhOsz5CsZijyKPKZ3NtdoP9Zn1Fh/view?usp=sharing
BPOS RP 260 IV ,https://drive.google.com/file/d/1xh3y-3EnRCjLxa3emDQ-o8jnOIvi6hUN/view?usp=sharing
BIXOLON SRP-270,https://drive.google.com/file/d/124Pk7b_jN4ZkNex5eQ2MT6q-IQFmfxdT/view?usp=sharing
Zjiang ZJ-8330,https://drive.google.com/file/d/1ltxL1aBUDqazKdkuSPNx7-sIt49QuKRR/view?usp=sharing
Volcora V-WLRP5-A1,https://drive.google.com/file/d/1nd72i0ZGzZPAlNP8HC8I0npZyfc7ErNK/view?usp=sharing
Volcora V-WRP2-A1,https://drive.google.com/file/d/1nd72i0ZGzZPAlNP8HC8I0npZyfc7ErNK/view?usp=sharing
Volcora 50020X Windows (Latest v250305),https://drive.google.com/file/d/1inxtNyZyT_AfFJVWAbIapxCcukgKCHUh/view?usp=sharing
Volcora 50020X Windows (v240105),https://drive.google.com/file/d/1xWgFtQCCwrwBp1De9w6MSaKt1jNZZDFw/view?usp=sharing
Volcora 50020X Windows (v20230101),https://drive.google.com/file/d/1vUrbUMMmmIa4j9F1PwZHutzQCyFtDo2P/view?usp=sharing
HP Dual Serial USB Thermal Receipt Printer,https://drive.google.com/file/d/1GIDgLauIwTt_Mm5B3DYWhkCgrT9GEWCe/view?usp=sharing
HP Engage One Serial/USB Thermal Printer,https://drive.google.com/file/d/1GIDgLauIwTt_Mm5B3DYWhkCgrT9GEWCe/view?usp=sharing
Citizen CT-S310II,https://drive.google.com/file/d/1qM1GVlPC4GQO-VXjSVSWmPoBY1dbkYDr/view?usp=sharing
